Place,Distance,Year,Name,FinishTime,FinishSeconds,IsDNS,IsAmR,IsMR,IsWR,IsDNF
1,1500,2012,Jenny Simpson,4:07.27,247.27,false,false,false,false,false
2,1500,2012,Shannon Rowbury,4:07.66,247.66,false,false,false,false,false
3,1500,2012,Isabel Macias,4:08.80,248.8,false,false,false,false,false
4,1500,2012,Maggie Infeld,4:10.12,250.12,false,false,false,false,false
5,1500,2012,Nicole Sifuentes,4:10.92,250.92,false,false,false,false,false
6,1500,2012,Katie Follett,4:11.51,251.51,false,false,false,false,false
7,1500,2012,Lucy Van Dalen,4:11.78,251.78,false,false,false,false,false
8,1500,2012,Lauren Centrowitz,4:11.97,251.97,false,false,false,false,false
9,1500,2012,Liz Maloy,4:15.40,255.4,false,false,false,false,false
,1500,2012,Marina Muncan,,,false,false,false,false,true
1,1500,2011,Sara Hall,4:15.35,255.35,false,false,false,false,false
2,1500,2011,Carmen Douma,4:16.73,256.73,false,false,false,false,false
3,1500,2011,Heidi Dahl,4:16.99,256.99,false,false,false,false,false
4,1500,2011,Sara Vaughn,4:20.52,260.52,false,false,false,false,false
5,1500,2011,Lesley Higgins,4:21.70,261.7,false,false,false,false,false
6,1500,2011,Renee Tomlin,4:24.09,264.09,false,false,false,false,false
,1500,2011,Karen Shinkins,,,false,false,false,false,true
1,1500,2004,Carmen Duoma,4:16.78,256.78,false,false,false,false,false
2,1500,2004,Meskerem Legesse,4:17.32,257.32,false,false,false,false,false
3,1500,2004,Jen Toomey,4:17.81,257.81,false,false,false,false,false
4,1500,2004,Christin Wurth,4:22.77,262.77,false,false,false,false,false
5,1500,2004,Leah Pells,4:22.90,262.9,false,false,false,false,false
6,1500,2004,Miesha Marzell,4:24.67,264.67,false,false,false,false,false
7,1500,2004,Lyubov Kremleva,4:27.30,267.3,false,false,false,false,false
8,1500,2004,Atalelech Ketema,4:35.12,275.12,false,false,false,false,false
9,1500,2004,Ali Mann,4:40.35,280.35,false,false,false,false,false
1,1500,1981,Maggie Keys,4:14.9,254.9,false,false,false,false,false
2,1500,1981,Francie Larrieu,4:15.6,255.6,false,false,false,false,false
3,1500,1981,Jan Merrill,4:15.6,255.6,false,false,false,false,false
4,1500,1981,Janet Marlow,4:17.0,257.0,false,false,false,false,false
5,1500,1981,Margaret Groos,4:37.2,277.2,false,false,false,false,false
1,1500,1980,Mary Decker,4:00.8,240.8,false,true,true,true,false
2,1500,1980,Cindy Bremser,4:12.7,252.7,false,false,false,false,false
3,1500,1980,Maggie Keys,4:13.4,253.4,false,false,false,false,false
4,1500,1980,Darlene Beckford,4:14.0,254.0,false,false,false,false,false
5,1500,1980,Brigid Leddy,4:25.7,265.7,false,false,false,false,false
1,1500,1979,Francie Larrieu,4:15.0,255.0,false,false,true,false,false
2,1500,1979,Jan Merrill,4:15.6,255.6,false,false,false,false,false
3,1500,1979,Mary Purcell,4:16.3,256.3,false,false,false,false,false
4,1500,1979,Cindy Bremser,4:18.7,258.7,false,false,false,false,false
5,1500,1979,Debbie Velter,4:23.2,263.2,false,false,false,false,false
1,1500,1978,Jan Merrill,4:19.7,259.7,false,false,false,false,false
2,1500,1978,Francie Larrieu,4:19.8,259.8,false,false,false,false,false
3,1500,1978,Cindy Bremser,4:22.8,262.8,false,false,false,false,false
4,1500,1978,Lynn Jennings,4:24.7,264.7,false,false,false,false,false
5,1500,1978,Kathy Mills,4:30.1,270.1,false,false,false,false,false
1,1500,1977,Francie Larrieu,4:15.8,255.8,false,false,false,false,false
2,1500,1977,Cyndy Poor,4:20.4,260.4,false,false,false,false,false
3,1500,1977,Jan Merrill,4:24.1,264.1,false,false,false,false,false
4,1500,1977,Doreen Ennis,4:28.0,268.0,false,false,false,false,false
5,1500,1977,Joan Benoit,4:28.0,268.0,false,false,false,false,false
6,1500,1977,Lynn Jennings,4:29.0,269.0,false,false,false,false,false
1,1500,1976,Jan Merrill,4:15.2,255.2,false,false,true,false,false
2,1500,1976,Francie Larrieu,4:21.4,261.4,false,false,false,false,false
3,1500,1976,Julie Brown,4:25.3,265.3,false,false,false,false,false
4,1500,1976,Cheryl Toussaint,4:29.9,269.9,false,false,false,false,false
5,1500,1976,Debbie Mitchell,4:30.7,270.7,false,false,false,false,false
