"Name","IsAmR","IsMR","IsWR","FinishTime","FinishSeconds","IsDNS","IsDNF","Year"
"Chris O'Hare","0","0","0","3:55.61","235.61","0","0","2020"
"Olli Hoare","0","0","0","3:56.47","236.47","0","0","2020"
"Rob Napolitano","0","0","0","3:56.56","236.56","0","0","2020"
"Nick Willis","0","0","0","3:56.72","236.72","0","0","2020"
"Carlos Villarreal","0","0","0","3:56.77","236.77","0","0","2020"
"Geordie Beamish","0","0","0","3:56.90","236.9","0","0","2020"
"Filip Ingebrigtsen","0","0","0","3:56.99","236.99","0","0","2020"
"Eric Jenkins","0","0","0","3:57.03","237.03","0","0","2020"
"Sam Prakel","0","0","0","3:57.81","237.81","0","0","2020"
"Andrew Coscoran","0","0","0","3:57.83","237.83","0","0","2020"
"Patrick Joseph","0","0","0","","","0","1","2020"
"Yomif Kejelcha","0","1","0","3:48.46","228.46","0","0","2019"
"Edward Cheserek","0","0","0","3:53.29","233.29","0","0","2019"
"Clayton Murphy","0","0","0","3:53.30","233.3","0","0","2019"
"Josh Kerr","0","0","0","3:53.65","233.65","0","0","2019"
"Craig Engels","0","0","0","3:54.18","234.18","0","0","2019"
"Nick Willis","0","0","0","3:54.80","234.8","0","0","2019"
"Ollie Hoare","0","0","0","3:54.83","234.83","0","0","2019"
"Johnny Gregorek","0","0","0","3:55.52","235.52","0","0","2019"
"Riley Masters","0","0","0","3:58.55","238.55","0","0","2019"
"Sam Prakel","0","0","0","3:59.36","239.36","0","0","2019"
"Rob Napolitano","0","0","0","","","0","1","2019"
"Robby Andrews","0","0","0","","","0","1","2019"
"Chris O'Hare","0","0","0","3:54.14","234.14","0","0","2018"
"Josh Kerr","0","0","0","3:54.72","234.72","0","0","2018"
"Ben Blankenship","0","0","0","3:54.77","234.77","0","0","2018"
"Charlie Grice","0","0","0","3:56.47","236.47","0","0","2018"
"Nick Willis","0","0","0","3:57.72","237.72","0","0","2018"
"Kyle Merber","0","0","0","3:57.75","237.75","0","0","2018"
"Alfredo Santana","0","0","0","4:00.15","240.15","0","0","2018"
"Charles Philibert-Thiboutot","0","0","0","4:00.40","240.4","0","0","2018"
"Will Leer","0","0","0","4:02.94","242.94","0","0","2018"
"Robert Domanic","0","0","0","4:06.02","246.02","0","0","2018"
"Riley Masters","0","0","0","","","0","1","2018"
"Robby Andrews","0","0","0","","","0","1","2018"
"Eric Jenkins","0","0","0","3:53.23","233.23","0","0","2017"
"Clayton Murphy","0","0","0","3:54.31","234.31","0","0","2017"
"Kyle Merber","0","0","0","3:54.67","234.67","0","0","2017"
"Charles Philibert-Thiboutot","0","0","0","3:55.33","235.33","0","0","2017"
"Colby Alexander","0","0","0","3:55.99","235.99","0","0","2017"
"Johnny Gregorek","0","0","0","3:56.00","236","0","0","2017"
"Drew Hunter","0","0","0","3:56.80","236.8","0","0","2017"
"Robby Andrews","0","0","0","3:57.04","237.04","0","0","2017"
"Cory Leslie","0","0","0","3:57.86","237.86","0","0","2017"
"Izaic Yorks","0","0","0","4:01.64","241.64","0","0","2017"
"Henry Wynne","0","0","0","4:11.95","251.95","0","0","2017"
"Leo Manzano","0","0","0","4:12.76","252.76","0","0","2017"
"Daniel Winn","0","0","0","","","1","0","2017"
"Matthew Centrowitz","0","1","0","3:50.63","230.63","0","0","2016"
"Nick Willis","0","0","0","3:51.06","231.06","0","0","2016"
"Chris O'Hare","0","0","0","3:52.91","232.91","0","0","2016"
"Robby Andrews","0","0","0","3:53.16","233.16","0","0","2016"
"Cory Leslie","0","0","0","3:53.87","233.87","0","0","2016"
"Garrett Heath","0","0","0","3:55.10","235.1","0","0","2016"
"Cristian Soratos","0","0","0","3:56.05","236.05","0","0","2016"
"Blake Haney","0","0","0","3:56.36","236.36","0","0","2016"
"Jordy Williamsz","0","0","0","4:03.36","243.36","0","0","2016"
"Daniel Winn","0","0","0","4:11.15","251.15","0","0","2016"
"Kyle Merber","0","0","0","","","0","1","2016"
"Matthew Centrowitz","0","0","0","3:51.35","231.35","0","0","2015"
"Nick Willis","0","0","0","3:51.46","231.46","0","0","2015"
"Pat Casey","0","0","0","3:54.36","234.36","0","0","2015"
"Bernard Lagat","0","0","0","3:54.91","234.91","0","0","2015"
"Evan Jager","0","0","0","3:55.25","235.25","0","0","2015"
"Chris O'Hare","0","0","0","3:55.35","235.35","0","0","2015"
"Leo Manzano","0","0","0","3:56.05","236.05","0","0","2015"
"Edward Cheserek","0","0","0","3:56.43","236.43","0","0","2015"
