Place,Distance,Year,Name,FinishTime,FinishSeconds,IsDNS,IsAmR,IsMR,IsWR,IsDNF
1,mile,2020,Elle Purrier,4:16.85,256.85,false,true,false,false,false
2,mile,2020,Konstanze Klosterhalfen,4:17.26,257.26,false,false,false,false,false
3,mile,2020,Jemma Reekie,4:17.88,257.88,false,false,false,false,false
4,mile,2020,Gabriela Debues-Stafford,4:19.73,259.73,false,false,false,false,false
5,mile,2020,Nikki Hiltz,4:24.45,264.45,false,false,false,false,false
6,mile,2020,Heather MacLean,4:25.98,265.98,false,false,false,false,false
7,mile,2020,Dani Jones,4:27.88,267.88,false,false,false,false,false
8,mile,2020,Shannon Osika,4:28.79,268.79,false,false,false,false,false
9,mile,2020,Yolanda Ngarambe,4:31.34,271.34,false,false,false,false,false
10,mile,2020,Rebecca Mehra,4:32.61,272.61,false,false,false,false,false
11,mile,2020,Danae Rivers,4:32.95,272.95,false,false,false,false,false
12,mile,2020,Sinclaire Johnson,4:34.65,274.65,false,false,false,false,false
,mile,2020,Megan Mansy,,,false,false,false,false,true
1,mile,2019,Konstanze Klosterhalfen,4:19.98,259.98,false,false,false,false,false
2,mile,2019,Colleen Quigley,4:22.86,262.86,false,false,false,false,false
3,mile,2019,Kate Grace,4:24.27,264.27,false,false,false,false,false
4,mile,2019,Shannon Osika,4:25.71,265.71,false,false,false,false,false
5,mile,2019,Katie Mackey,4:26.39,266.39,false,false,false,false,false
6,mile,2019,Cory McGee,4:26.79,266.79,false,false,false,false,false
7,mile,2019,Helen Schlachtenhaufen,4:28.81,268.81,false,false,false,false,false
8,mile,2019,Danae Rivers,4:29.47,269.47,false,false,false,false,false
9,mile,2019,Amanda Eccleston,4:29.54,269.54,false,false,false,false,false
10,mile,2019,Emily Lipari,4:33.97,273.97,false,false,false,false,false
11,mile,2019,Kaela Edwards,4:40.74,280.74,false,false,false,false,false
12,mile,2019,Karisa Nelson,4:44.23,284.23,false,false,false,false,false
,mile,2019,Stephanie Herrick,,,false,false,false,false,true
1,mile,2018,Colleen Quigley,4:30.05,270.05,false,false,false,false,false
2,mile,2018,Kate Grace,4:30.08,270.08,false,false,false,false,false
3,mile,2018,Ciara Mageean,4:30.99,270.99,false,false,false,false,false
4,mile,2018,Lauren Johnson,4:31.63,271.63,false,false,false,false,false
5,mile,2018,Elinor Purrier,4:31.85,271.85,false,false,false,false,false
6,mile,2018,Sara Vaughn,4:31.98,271.98,false,false,false,false,false
7,mile,2018,Alexa Efraimson,4:32.73,272.73,false,false,false,false,false
8,mile,2018,Gabriela Stafford,4:32.81,272.81,false,false,false,false,false
9,mile,2018,Nikki Hiltz,4:33.44,273.44,false,false,false,false,false
10,mile,2018,Kaela Edwards,4:33.98,273.98,false,false,false,false,false
11,mile,2018,Nicole Sifuentes,4:35.94,275.94,false,false,false,false,false
,mile,2018,Therese Haiss,,,false,false,false,false,true
1,mile,2017,Sifan Hassan,4:19.89,259.89,false,false,true,false,false
2,mile,2017,Kate Grace,4:22.93,262.93,false,false,false,false,false
3,mile,2017,Shannon Rowbury,4:23.05,263.05,false,false,false,false,false
4,mile,2017,Heather Kampf,4:28.39,268.39,false,false,false,false,false
5,mile,2017,Dominique Scott,4:28.47,268.47,false,false,false,false,false
